temperature,humidity,rainfall,soil_pH,disease_present
27.48357077,33.2150527,0.572757778,4.975875098,1
24.30867849,36.94500537,42.52234633,8.165265628,0
28.23844269,34.02618939,16.09530324,6.316734017,1
32.61514928,41.10418047,20.31101548,6.164949465,0
23.82923313,51.97178531,11.85132333,8.482468399,0
23.82931522,32.28957843,2.058563802,5.727684948,0
32.89606408,50.00820498,0.315200199,7.843563917,0
28.83717365,32.18327928,19.99940084,7.880548271,0
22.65262807,31.52372788,5.047286709,5.047015947,0
27.71280022,48.18594618,3.063415848,4.426778616,0
34.0243673,49.21936378,8.247899779,8.390290521,0
22.67135123,48.51409937,5.462775533,5.916535889,0
26.20981136,26.84202592,10.54593477,4.009991449,0
15.43359878,35.34049022,6.612478826,6.245580252,0
24.56311626,48.22988592,11.9479221,6.786851637,0
22.18856235,100,19.2020623,7.492397114,0
19.9358444,29.26307154,2.176051801,8.243239532,0
26.57123666,44.58317939,3.996314777,8.11826783,0
20.45987962,32.85192741,5.741481495,8.23061119,0
17.93848149,57.94524848,32.71708409,4.144563167,0
32.32824384,55.44841462,4.546557938,7.202983602,0
35.80667775,46.04097426,4.798113272,5.016360833,0
25.33764102,53.61006705,10.59793165,4.843987092,0
17.87625907,40.6479135,5.43348316,7.601433559,0
22.27808638,47.65437494,30.20511676,5.877083601,1
25.55461295,54.77720295,22.48748261,8.124700341,0
19.24503211,42.45498682,7.203308878,4.190957909,0
26.87849009,37.44812828,10.35004546,7.609813733,0
21.99680655,22.95378042,0.597824485,4.615754851,1
35.31229688,39.16866474,11.89841549,4.794597407,0
32.98720041,48.23423185,12.28268478,6.14808272,0
34.26139092,49.45633428,4.45036784,5.780154734,0
24.93251388,45.04365066,2.480548825,6.187775378,0
19.71144536,34.58700905,24.66026822,8.230119349,0
29.11272456,20.23178431,5.563546875,6.95825021,0
18.89578175,35.04784902,10.60467456,5.306392218,0
26.04431798,36.95655129,0.338968568,4.778089205,1
15.20164938,36.87071033,5.345501147,5.890208238,1
18.35906976,46.18556357,16.99684395,6.032384623,0
25.98430618,59.85676411,4.903304265,6.705824845,0
28.6923329,41.23529202,9.242250256,5.197012166,0
25.85684141,37.83268211,2.355398191,7.453791612,1
24.42175859,37.40778187,5.387547851,4.443071105,0
23.49448152,41.24384767,26.26070083,6.522040136,0
17.60739005,31.7170624,8.357521849,6.80589244,0
21.40077896,41.20198559,23.22088648,4.930742115,0
22.69680615,44.50812336,23.22984753,7.717051077,1
30.28561113,42.09686064,28.85046371,6.769444563,0
26.71809145,44.57541934,22.57531999,6.905749966,0
16.18479922,100,0.032865237,6.239845776,0
26.62041985,100,27.18326192,8.093173977,0
23.0745886,46.36870158,1.47873104,7.122674117,0
21.61539,33.28985154,0.407451757,5.718260042,0
